quarter,q_start,n_filed,n_priced,n_long,n_short,long_ret,short_ret,combined_ret,spy_ret,sector_ret,sector_alpha,alpha,cohort_ic,rf_quarterly,cum_combined,cum_long,cum_spy,drawdown,drawdown_spy,cum_sector,drawdown_sector,rolling_sharpe,rolling_ic
2023Q1,2023-01-01,446,90,90,0,0.08313123211217897,,0.08313123211217897,0.08680355925814522,0.029478493034555943,0.05365273907762306,-0.003672327145966226,0.33072366016130783,0.011291268904431995,0.08313123211217888,0.08313123211217888,0.08680355925814531,0.0,0.0,0.029478493034555964,0.0,,
2023Q2,2023-04-01,440,88,88,0,-0.06254324211190493,,-0.06254324211190493,-0.03262646398329578,-0.027444153742158715,-0.035099088369746206,-0.029916778128609146,0.33823061633019325,0.012362059665740777,0.015388693223221006,0.015388693223221006,0.05134500207509163,-0.06254324211190487,-0.03262646398329594,0.0012253269974698,-0.027444153742158695,-0.029541282843079435,0.33447713824575054
2023Q3,2023-07-01,450,90,90,0,0.22836096464413772,,0.22836096464413772,0.11059008953217422,0.08432973754619776,0.14403122709793997,0.1177708751119635,0.3031610032642137,0.012930143603662625,0.2472638346964262,0.2472638346964262,0.16761333998378003,0.0,0.0,0.08565839604777237,0.0,0.9752434640500665,0.32403842658523824
2023Q4,2023-10-01,459,92,92,0,0.1497951498328856,,0.1497951498328856,0.10818228696548976,0.05922227200210627,0.09057287783077934,0.04161286286739583,0.26511161161358077,0.012920559719459268,0.43409790769591683,0.43409790769591683,0.29392842139463937,0.0,0.0,0.14995355287988388,0.0,1.4190855381198282,0.30930672284232386
2024Q1,2024-01-01,502,101,101,0,-0.03043195244006517,,-0.03043195244006517,0.04776185223424398,-0.006636882254125175,-0.023795070185939998,-0.07819380467430916,0.15848844144380564,0.012804383572909916,0.3904555083745178,0.3904555083745178,0.3557288394589788,-0.030431952440065135,0.0,0.1423214465517071,-0.006636882254125287,0.8354676259388167,0.26624791816294835
2024Q2,2024-04-01,495,99,99,0,0.14878191754358253,,0.14878191754358253,0.055341415826110775,0.06668358475893137,0.08209833278465117,0.09344050171747176,0.2386331520721322,0.012840937997006474,0.5973301451695154,0.5973301451695154,0.4307567929109286,0.0,0.0,0.21849553555478285,0.0,2.0315805974056946,0.2413485520984331
2024Q3,2024-07-01,523,105,105,0,0.05888110551550262,,0.05888110551550262,0.024910460015881843,-0.10276045307602953,0.16164155859153215,0.03397064549962078,0.1752482015892753,0.012241202006273877,0.6913827099903347,0.6913827099903347,0.46639760279318754,0.0,0.0,0.09328238225005414,-0.10276045307602955,1.6060333686149475,0.20937035167969847
2024Q4,2024-10-01,545,109,109,0,-0.038238917983565705,,-0.038238917983565705,-0.04266870094121538,0.06545671152255014,-0.10369562950611583,0.0044297829576496715,0.24590674187703057,0.010797983554415413,0.6267060652641931,0.6267060652641931,0.40382832201869,-0.03823891798356571,-0.04266870094121533,0.16484505175768227,-0.04403010288640363,0.5169265369176632,0.20456913424556092
2025Q1,2025-01-01,569,114,114,0,0.126732636253636,,0.126732636253636,0.10777179138020208,-0.07243697525855429,0.1991696115121903,0.018960844873433923,0.11447023608501918,0.010336624090259372,0.8328628133249036,0.8328628133249036,0.5551214150729074,0.0,0.0,0.0804671995634616,-0.11327767067154393,1.494019404326016,0.1935645829058643
2025Q2,2025-04-01,558,112,112,0,0.22080085537561717,,0.22080085537561717,0.08121232677600874,0.03721693306197788,0.18358392231363932,0.13958852859960844,0.07052280311457175,0.010377189247461338,1.2375604902932023,1.2375604902932023,0.6814164436101775,0.0,0.0,0.12067887500527763,-0.0802765850963657,1.4788603260297635,0.1515369956664742
2025Q3,2025-07-01,558,112,112,0,0.028089259781188588,,0.028089259781188588,0.026651839960338503,0.11704519518159602,-0.0889559354004074,0.0014374198208500877,,0.010066468834421194,1.3004119081811716,1.3004119081811716,0.7262292855719577,0.0,0.0,0.2518489526661618,0.0,1.3025420234775034,0.14363326035887383
2025Q4,2025-10-01,552,111,111,0,-0.06472779409367505,,-0.06472779409367505,-0.04370582300720201,-0.049013337553886586,-0.015714456539788466,-0.02102197108647303,,0.009161912025293706,1.1515113198577827,1.1515113198577827,0.6507830139469009,-0.06472779409367502,-0.04370582300720205,0.19049165738265583,-0.04901333755388659,1.1030170955418044,0.09249651959979548
