quarter,ticker,direction,entry_date,exit_date,hold_days,entry_price,exit_price,raw_return,signed_return,spy_ret,sector_ret,sector_alpha,pos_alpha,score,target
2023Q1,TOMZ,long,2023-03-16,2023-05-15,60,0.58,0.68,0.17241379310344845,0.17241379310344845,0.046644219126336664,0.011050733154122649,0.16136305994932582,0.1257695739771118,0.7252161502838135,-5.20928756220324
2023Q1,TDG,long,2023-02-07,2023-05-09,91,634.6777,691.0165,0.08876757447126313,0.08876757447126313,-0.006483078271286318,-0.0305312280644476,0.11929880253571074,0.09525065274254944,0.6989606022834778,35.73800921593222
2023Q1,TPC,long,2023-03-15,2023-05-04,50,7.1578,5.85,-0.18270977115873596,-0.18270977115873596,0.04468809069671586,0.014450485470514687,-0.19716025662925066,-0.22739786185545183,0.6683565974235535,-3.157723851217209
2023Q1,LMB,long,2023-03-08,2023-05-08,61,13.61,17.16,0.2608376193975019,0.2608376193975019,0.03859228353061893,-0.027670067695829203,0.2885076870933311,0.22224533586688294,0.6580005288124084,234.3060112523422
2023Q1,BV,long,2023-02-07,2023-05-04,86,6.52,6.1,-0.06441717791411042,-0.06441717791411042,-0.020505963507434857,-0.04360481725134264,-0.02081236066276778,-0.04391121440667556,0.6301866173744202,18.89217479992845
2023Q1,FAST,long,2023-02-07,2023-04-18,70,24.8395,25.0113,0.006916403309245255,0.006916403309245255,0.0014469093072522594,-0.013653095871627031,0.020569499180872287,0.005469494001992996,0.6263917088508606,13.164008668942923
2023Q1,ETN,long,2023-02-23,2023-05-02,68,165.4365,166.705,0.007667594515116176,0.007667594515116176,0.029321651397739366,-0.009830226933052364,0.01749782144816854,-0.02165405688262319,0.6222707033157349,41.56402137645184
2023Q1,HHS,long,2023-03-16,2023-05-12,57,9.28,5.75,-0.3803879310344827,-0.3803879310344827,0.04304560769262766,0.006146656466756969,-0.3865345875012397,-0.42343353872711037,0.6213788986206055,-48.63601170013428
2023Q1,BW,long,2023-03-16,2023-05-10,55,5.51,5.95,0.07985480943738664,0.07985480943738664,0.04623866759996186,0.011561440922436491,0.06829336851495015,0.03361614183742478,0.6183102130889893,-113.10402440430852
2023Q1,BAH,long,2023-01-27,2023-05-26,119,87.3418,91.1016,0.04304697178212492,0.04304697178212492,0.0392996729269948,-0.023695147286161674,0.06674211906828659,0.0037472988551301156,0.6141343116760254,38.577553985551546
2023Q1,OPTT,long,2023-03-13,2023-07-14,123,0.54,0.66,0.2222222222222222,0.2222222222222222,0.17466771947595217,0.11226799505056109,0.10995422717166112,0.047554502746270044,0.6139143705368042,-82.22425230785265
