quarter,q_start,n_filed,n_priced,n_long,n_short,long_ret,short_ret,combined_ret,spy_ret,sector_ret,sector_alpha,alpha,cohort_ic,rf_quarterly,cum_combined,cum_long,cum_spy,drawdown,drawdown_spy,rolling_sharpe,rolling_ic
2023Q1,2023-01-01,3032,607,607,0,0.06380380766623987,,0.06380380766623987,0.08680355925814522,,,-0.022999751591905346,0.15943197818742053,0.011291268904431995,0.06380380766623994,0.06380380766623994,0.08680355925814531,0.0,0.0,,
2023Q2,2023-04-01,3079,616,616,0,-0.032934665452536316,,-0.032934665452536316,-0.03262646398329578,,,-0.00030820146924052813,0.144353160963668,0.012362059665740777,0.02876778515361811,0.02876778515361811,0.05134500207509163,-0.032934665452536205,-0.03262646398329594,0.10433266863912921,0.15189256957554426
2023Q3,2023-07-01,3088,618,618,0,0.16148561926688085,,0.16148561926688085,0.11059008953217421,,,0.05089552973470663,0.1640973678146663,0.012930143603662625,0.1948989880209675,0.1948989880209675,0.16761333998378003,0.0,0.0,1.071394483555059,0.15596083565525162
2023Q4,2023-10-01,3136,628,628,0,0.09069431411149334,,0.09069431411149334,0.10818228696548977,,,-0.017487972853996427,0.12345938146787727,0.012920559719459268,0.30326953217204666,0.30326953217204666,0.29392842139463937,0.0,0.0,1.4562087680474582,0.14783547210840803
2024Q1,2024-01-01,3147,630,630,0,-0.009842399884648887,,-0.009842399884648887,0.047761852234244,,,-0.05760425211889288,0.10609136324193681,0.012804383572909916,0.2904422322789302,0.2904422322789302,0.3557288394589788,-0.009842399884648856,0.0,0.8779241837355316,0.1345003183720371
2024Q2,2024-04-01,3311,663,663,0,0.17941703811445936,,0.17941703811445936,0.05534141582611078,,,0.12407562228834856,0.12939948609846644,0.012840937997006474,0.521969555452227,0.521969555452227,0.4307567929109286,0.0,0.0,2.1566981266021057,0.1307618996557367
2024Q3,2024-07-01,3371,675,675,0,0.1579687434226403,,0.1579687434226403,0.02491046001588185,,,0.1330582834067585,0.09277393726460784,0.012241202006273877,0.7623931736545297,0.7623931736545297,0.46639760279318754,0.0,0.0,2.1554262968062776,0.11293104201822207
2024Q4,2024-10-01,3468,694,694,0,-0.06874267448182811,,-0.06874267448182811,-0.04266870094121539,,,-0.026073973540612715,0.057089237064160435,0.010797983554415413,0.6412415534090004,0.6412415534090004,0.4038283220186898,-0.06874267448182814,-0.04266870094121544,0.859837925703206,0.09633850591729287
2025Q1,2025-01-01,3474,695,695,0,0.1576156512955517,,0.1576156512955517,0.10777179138020208,,,0.04984385991534961,-0.015093265882502288,0.010336624090259372,0.899926909782883,0.899926909782883,0.5551214150729071,0.0,0.0,1.6275437048436263,0.06604234863618309
2025Q2,2025-04-01,3547,710,710,0,0.1663063209846744,,0.1663063209846744,0.08121232677600874,,,0.08509399420866569,-0.005073536837852851,0.010377189247461338,1.2158967642886558,1.2158967642886558,0.6814164436101773,0.0,0.0,1.6105355536255859,0.03242409290210328
2025Q3,2025-07-01,3530,706,706,0,-0.04700694185892018,,-0.04700694185892018,0.026651839960338507,,,-0.07365878181925868,,0.010066468834421194,1.1117342339243694,1.1117342339243694,0.7262292855719574,-0.04700694185892029,0.0,0.6541023082479543,0.012307478114601764
2025Q4,2025-10-01,3510,702,702,0,-0.029318717760718992,,-0.029318717760718992,-0.04370582300720201,,,0.01438710524648302,,0.009161912025293706,1.0498208939342928,1.0498208939342928,0.6507830139469006,-0.07494747635848298,-0.04370582300720205,0.8995839534795892,-0.01008340136017757
