quarter,q_start,n_filed,n_priced,n_long,n_short,long_ret,short_ret,combined_ret,spy_ret,sector_ret,sector_alpha,alpha,cohort_ic,rf_quarterly,cum_combined,cum_long,cum_spy,drawdown,drawdown_spy,cum_sector,drawdown_sector,rolling_sharpe,rolling_ic
2023Q1,2023-01-01,533,107,107,0,0.010206298544384837,,0.010206298544384837,0.08680355925814523,0.05322764416092344,-0.04302134561653861,-0.07659726071376037,-0.007733344236031298,0.011291268904431995,0.010206298544384929,0.010206298544384929,0.08680355925814531,0.0,0.0,0.053227644160923404,0.0,,
2023Q2,2023-04-01,534,107,107,0,0.007097295233124355,,0.007097295233124355,-0.03262646398329578,-0.01996522127267818,0.027062516505802537,0.03972375921642013,0.07360573683719175,0.012362059665740777,0.01737603089151607,0.01737603089151607,0.05134500207509163,0.0,-0.03262646398329594,0.0321997211947489,-0.019965221272678302,-2.148402745529838,0.03293619630058023
2023Q3,2023-07-01,541,109,109,0,0.19248046332848354,,0.19248046332848354,0.11059008953217422,0.15375272796280479,0.03872773536567872,0.08189037379630933,0.10325321188801517,0.012930143603662625,0.21320104069680879,0.21320104069680879,0.16761333998378003,0.0,0.0,0.190903244130888,0.0,1.0942967431019666,0.05637520149639188
2023Q4,2023-10-01,544,109,109,0,-0.030871620849815387,,-0.030871620849815387,0.10818228696548976,0.1135527520546517,-0.14442437290446708,-0.13905390781530516,0.08977464362321444,0.012920559719459268,0.1757475581538155,0.1757475581538155,0.29392842139463937,-0.030871620849815318,0.0,0.3261335849327631,0.0,0.6470599939658149,0.06472506202809752
2024Q1,2024-01-01,539,108,108,0,0.008899692945576427,,0.008899692945576427,0.04776185223424398,-0.01257742415141159,0.021477117096988015,-0.038862159288667555,0.10112795098027375,0.012804383572909916,0.18621135040289571,0.18621135040289571,0.3557288394589788,-0.022246675850534525,0.0,0.3094542403536318,-0.01257742415141161,0.6309186549320223,0.09194038583217377
2024Q2,2024-04-01,555,111,111,0,0.15258259628922183,,0.15258259628922183,0.055341415826110775,0.10399032648125771,0.04859226980796412,0.09724118046311106,0.05184850942178946,0.012840937997006474,0.36720655799511337,0.36720655799511337,0.4307567929109286,0.0,0.0,0.44562481432027323,0.0,1.2526313509859137,0.08650107897832321
2024Q3,2024-07-01,560,112,112,0,0.0981456450497853,,0.0981456450497853,0.02491046001588184,0.07096351667212428,0.02718212837766104,0.07323518503390347,0.10769019419611153,0.012241202006273877,0.5013919275458405,0.5013919275458405,0.46639760279318754,0.0,0.0,0.5482114349329266,0.0,1.06538411331747,0.08761032455534729
2024Q4,2024-10-01,570,114,114,0,-0.020207676102311216,,-0.020207676102311216,-0.042668700941215394,0.034365326383089985,-0.054573002485401194,0.022461024838904168,0.07141767448647114,0.010797983554415413,0.4710522857713695,0.4710522857713695,0.4038283220186898,-0.020207676102311223,-0.04266870094121544,0.6014162262044289,0.0,1.2050703520372579,0.08302108227116148
2025Q1,2025-01-01,569,114,114,0,0.08947463679944273,,0.08947463679944273,0.10777179138020208,0.05500025482900969,0.03447438197043307,-0.018297154580759336,0.018878089897848022,0.010336624090259372,0.6026741547537529,0.6026741547537529,0.5551214150729071,0.0,0.0,0.6894945267329835,0.0,1.9110445244503877,0.062458617000555036
2025Q2,2025-04-01,576,116,116,0,0.061552105532600904,,0.061552105532600904,0.08121232677600872,0.03202680558990855,0.029525299942692373,-0.019660221243407824,0.054076965373718734,0.010377189247461338,0.7013221234615279,0.7013221234615279,0.6814164436101773,0.0,0.0,0.7436036394858752,0.0,1.724931904437672,0.06301573098853736
2025Q3,2025-07-01,577,116,116,0,-0.013388511103096433,,-0.013388511103096433,0.026651839960338496,0.02026108545942722,-0.03364959656252364,-0.04004035106343493,,0.010066468834421194,0.6785439533216195,0.6785439533216195,0.7262292855719574,-0.013388511103096468,0.0,0.7789309418328667,0.0,0.6941791760992029,0.0481242432526793
2025Q4,2025-10-01,575,115,115,0,-0.05224033611001418,,-0.05224033611001418,-0.04370582300720201,-0.09396053213531316,0.04172019602529901,-0.008534513102812164,,0.009161912025293706,0.5908562530246662,0.5908562530246662,0.6507830139469006,-0.06492942689307224,-0.04370582300720205,0.6117816439062767,-0.09396053213531319,0.3495143044614043,0.03647752763578337
