quarter,ticker,direction,entry_date,exit_date,hold_days,entry_price,exit_price,raw_return,signed_return,spy_ret,sector_ret,sector_alpha,pos_alpha,score,target
2023Q1,FUSB,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,7.0196,8.0795,0.15099150948772008,0.15099150948772008,0.08680355925814522,0.05322764416092345,0.09776386532679662,0.06418795022957487,0.7417178750038147,-38.582247534067335
2023Q1,CARE,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,14.0,14.79,0.05642857142857137,0.05642857142857137,0.08680355925814522,0.05322764416092345,0.003200927267647917,-0.030374987829573846,0.7302390336990356,-49.29334395509551
2023Q1,MFIN,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,6.6376,6.9268,0.04356996504760759,0.04356996504760759,0.08680355925814522,0.05322764416092345,-0.009657679113315866,-0.04323359421053763,0.7101734280586243,-29.049229045737437
2023Q1,C,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,42.2391,41.9281,-0.007362846272766227,-0.007362846272766227,0.08680355925814522,0.05322764416092345,-0.06059049043368968,-0.09416640553091145,0.7065293788909912,-13.727534581630064
2023Q1,AAMI,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,23.4336,20.8292,-0.11113956028949877,-0.11113956028949877,0.08680355925814522,0.05322764416092345,-0.16436720445042222,-0.197943119547644,0.6944776773452759,-39.78229392517613
2023Q1,GNW,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,5.02,5.0,-0.003984063745019836,-0.003984063745019836,0.08680355925814522,0.05322764416092345,-0.057211707905943286,-0.09078762300316505,0.6908099055290222,-31.45169647306118
2023Q1,MRSH,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,158.1955,179.2727,0.13323514259255145,0.13323514259255145,0.08680355925814522,0.05322764416092345,0.080007498431628,0.04643158333440624,0.689870297908783,-8.800025713151088
2023Q1,MA,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,356.5076,386.4352,0.08394659749189072,0.08394659749189072,0.08680355925814522,0.05322764416092345,0.030718953330967268,-0.0028569617662544955,0.6878191232681274,3.6594909453596856
2023Q1,STEL,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,23.1646,21.6547,-0.0651813543078664,-0.0651813543078664,0.08680355925814522,0.05322764416092345,-0.11840899846878986,-0.15198491356601163,0.6866396069526672,-40.70506429010032
2023Q1,AGM,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,121.4545,132.0444,0.08719232305101911,0.08719232305101911,0.08680355925814522,0.05322764416092345,0.033964678890095655,0.00038876379287389184,0.6862679719924927,1.6508198792331648
2023Q1,MRBK,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,11.1319,8.7806,-0.21122180400470722,-0.21122180400470722,0.08680355925814522,0.05322764416092345,-0.26444944816563065,-0.29802536326285245,0.6836577653884888,-56.21226000249326
2023Q1,BOTJ,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,9.618,8.4003,-0.12660636306924522,-0.12660636306924522,0.08680355925814522,0.05322764416092345,-0.17983400723016868,-0.21340992232739042,0.6836279034614563,-30.51120137754181
2023Q1,INBK,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,16.1435,14.4571,-0.10446309660234764,-0.10446309660234764,0.08680355925814522,0.05322764416092345,-0.15769074076327108,-0.19126665586049285,0.6764366030693054,26.991380997985765
2023Q1,HBCP,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,30.6737,31.0861,0.013444742564476999,0.013444742564476999,0.08680355925814522,0.05322764416092345,-0.03978290159644646,-0.07335881669366821,0.6650128364562988,-31.559734700607063
2023Q1,OMF,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,28.7566,34.844,0.2116870561888402,0.2116870561888402,0.08680355925814522,0.05322764416092345,0.15845941202791675,0.12488349693069499,0.6609945297241211,-12.110066454001393
2023Q1,PYPL,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,75.5362,66.3751,-0.12128092225979055,-0.12128092225979055,0.08680355925814522,0.05322764416092345,-0.174508566420714,-0.20808448151793577,0.6542907953262329,-54.51360511912502
2023Q1,CFFI,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,47.3758,49.5844,0.046618737836617095,0.046618737836617095,0.08680355925814522,0.05322764416092345,-0.006608906324306357,-0.04018482142152812,0.6529300808906555,-32.77912601016435
2023Q1,FNF,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,30.0284,31.3555,0.044194828895312364,0.044194828895312364,0.08680355925814522,0.05322764416092345,-0.009032815265611088,-0.04260873036283285,0.6513305902481079,3.9849725507970426
2023Q1,CRD-A,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,7.7113,10.2934,0.3348462645727699,0.3348462645727699,0.08680355925814522,0.05322764416092345,0.28161862041184643,0.2480427053146247,0.6509652733802795,104.5552293985386
2023Q1,RY,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,86.7839,87.5747,0.009112289261026578,0.009112289261026578,0.08680355925814522,0.05322764416092345,-0.044115354899896875,-0.07769126999711864,0.6488180160522461,-20.717081536915234
2023Q1,LCNB,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,13.7653,12.618,-0.08334725723376894,-0.08334725723376894,0.08680355925814522,0.05322764416092345,-0.1365749013946924,-0.17015081649191416,0.6463128328323364,-27.831264811937565
2023Q1,LAZ,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,28.6059,28.1259,-0.016779755225320544,-0.016779755225320544,0.08680355925814522,0.05322764416092345,-0.07000739938624399,-0.10358331448346576,0.6462297439575195,-17.6812181563808
2023Q1,BSBR,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,4.5613,5.5494,0.2166268388398045,0.2166268388398045,0.08680355925814522,0.05322764416092345,0.16339919467888103,0.1298232795816593,0.6460517048835754,-16.686354805698677
2023Q1,V,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,220.3986,232.6013,0.05536650414294838,0.05536650414294838,0.08680355925814522,0.05322764416092345,0.0021388599820249266,-0.03143705511519684,0.642216145992279,-5.282301710790875
