quarter,q_start,n_filed,n_priced,n_long,n_short,long_ret,short_ret,combined_ret,spy_ret,sector_ret,sector_alpha,alpha,cohort_ic,rf_quarterly,cum_combined,cum_long,cum_spy,drawdown,drawdown_spy,cum_sector,drawdown_sector,rolling_sharpe,rolling_ic
2023Q1,2023-01-01,446,90,90,0,0.0460340390008634,,0.0460340390008634,0.03444217727920978,0.031801100901391696,0.0142329380994717,0.011591861721653622,0.36433406837474464,0.011291268904431995,0.046034039000863336,0.046034039000863336,0.03444217727920984,0.0,0.0,0.031801100901391655,0.0,,
2023Q2,2023-04-01,440,88,88,0,0.10388661965779936,,0.10388661965779936,0.10177955313283706,0.018787048152505956,0.0850995715052934,0.0021070665249623218,0.35109084428967274,0.012362059665740777,0.1547029793596577,0.1547029793596577,0.1397272398244469,0.0,0.0,0.05118559786783461,0.0,3.14482813986698,0.3577124563322087
2023Q3,2023-07-01,450,90,90,0,-0.13394908637169356,,-0.13394908637169356,-0.03005542890410603,-0.05062151334468814,-0.08332757302700543,-0.10389365746758751,0.3022110068033258,0.012930143603662625,3.1570243758993755e-05,3.1570243758993755e-05,0.10547224879783013,-0.13394908637169356,-0.030055428904106174,-0.002027007902375977,-0.05062151334468812,-0.11034457688111823,0.3392119731559144
2023Q4,2023-10-01,459,92,92,0,0.5007484920055838,,0.5007484920055838,0.1669243596717162,0.14778923924729348,0.35295925275829027,0.3338241323338675,0.2686715868794907,0.012920559719459268,0.5007958710012974,0.5007958710012974,0.2900024960632601,0.0,0.0,0.14546266138907704,0.0,0.8735208597519528,0.32157687658680845
2024Q1,2024-01-01,502,99,99,0,0.004454024620569163,,0.004454024620569163,0.02460697849121505,-0.015251550211220502,0.019705574831789672,-0.020152953870645893,0.32953547080028334,0.012804383572909916,0.5074804527611856,0.5074804527611856,0.3217455597375025,0.0,0.0,0.1279925800938233,-0.015251550211220488,0.7777581955152763,0.3128772271931931
2024Q2,2024-04-01,495,99,99,0,0.017774794052278442,,0.017774794052278442,0.04424770398625104,0.05364891302443949,-0.03587411897216105,-0.026472909933972593,0.3783821731755188,0.012840937997006474,0.5342756073468509,0.5342756073468509,0.3802297660099092,0.0,0.0,0.18850815591548997,0.0,0.6079780847657951,0.3197000594146546
2024Q3,2024-07-01,523,104,104,0,0.1237817846880083,,0.1237817846880083,0.0996898322573033,-0.014560778521053506,0.13834256320906183,0.024091952430704996,0.2848360841115991,0.012241202006273877,0.7241909802275219,0.7241909802275219,0.517824639859974,0.0,0.0,0.17120255188673883,-0.01456077852105353,1.2833871503675414,0.31535632874172304
2024Q4,2024-10-01,545,109,109,0,0.1295962217175095,,0.1295962217175095,0.0012691921389065236,7.325717248917569e-05,0.12952296454502035,0.12832702957860298,0.2177880392482298,0.010797983554415413,0.9476396167844179,0.9476396167844179,0.519751050961123,0.0,0.0,0.1712883508741021,-0.01448858803002806,1.6744133293530412,0.3026354418339078
2025Q1,2025-01-01,569,110,110,0,-0.020955856947574708,,-0.020955856947574708,-0.015414271974711631,-0.08045756723896233,0.05950171029138762,-0.005541584972863071,0.15131026572134815,0.010336624090259372,0.9068251595896544,0.9068251595896544,0.4963251949277543,-0.020955856947574736,-0.01541427197471168,0.07704933962743565,-0.09378043872336683,1.3486890057018526,0.25807914056417397
2025Q2,2025-04-01,558,112,112,0,0.23536792447729868,,0.23536792447729868,0.11631376252432461,-0.00603676617419467,0.24140469065149336,0.11905416195297411,0.2520578420467186,0.010377189247461338,1.355630639743365,1.355630639743365,0.670368408309745,0.0,0.0,0.07054744460603413,-0.09925107431727509,2.0153430587850196,0.2264980577819739
2025Q3,2025-07-01,558,111,111,0,0.11397943493850402,,0.11397943493850402,0.06589320463768,0.12716353276080108,-0.013184097822297043,0.04808623030082403,,0.010066468834421194,1.6241240889851403,1.6241240889851403,0.780434335658815,0.0,0.0,0.2066820396501856,0.0,1.9803063765809885,0.20705204900543217
2025Q4,2025-10-01,552,110,110,0,0.07725755727577799,,0.07725755727577799,0.010764949202324795,0.05837664354272629,0.018880913733051678,0.0678937939027099,,0.009161912025293706,1.826857506088658,1.826857506088658,0.7996006208402571,0.0,0.0,0.2771240869482543,0.0,1.7278129764439365,0.20168405388403338
