quarter,ticker,direction,entry_date,exit_date,hold_days,entry_price,exit_price,raw_return,signed_return,spy_ret,sector_ret,sector_alpha,pos_alpha,score,target
2023Q1,WVE,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,4.33,3.64,-0.15935334872979212,-0.15935334872979212,0.08680355925814522,0.029478493034555936,-0.18883184176434806,-0.24615690798793732,0.5961605310440063,-36.07258201491156
2023Q1,ARMP,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,1.67,1.14,-0.31736526946107785,-0.31736526946107785,0.08680355925814522,0.029478493034555936,-0.34684376249563376,-0.40416882871922305,0.5920982360839844,74.64292918656523
2023Q1,HRTX,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,1.51,1.16,-0.23178807947019872,-0.23178807947019872,0.08680355925814522,0.029478493034555936,-0.26126657250475466,-0.31859163872834395,0.5908834934234619,-33.701854014404006
2023Q1,HCA,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,257.5748,297.0805,0.15337564078473512,0.15337564078473512,0.08680355925814522,0.029478493034555936,0.12389714775017918,0.0665720815265899,0.58746737241745,-6.050033379740565
2023Q1,MCK,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,351.11,421.9744,0.20182962604312035,0.20182962604312035,0.08680355925814522,0.029478493034555936,0.17235113300856442,0.11502606678497514,0.5859621167182922,14.25579167774236
2023Q1,AKBA,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,0.56,0.915,0.6339285714285713,0.6339285714285713,0.08680355925814522,0.029478493034555936,0.6044500783940153,0.5471250121704261,0.585088312625885,35.998384201147964
2023Q1,PGEN,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,1.06,1.15,0.08490566037735835,0.08490566037735835,0.08680355925814522,0.029478493034555936,0.05542716734280241,-0.001897898880786869,0.5778581500053406,-4.014410759458414
2023Q1,MYO,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,0.75,0.518,-0.3093333333333333,-0.3093333333333333,0.08680355925814522,0.029478493034555936,-0.3388118263678892,-0.3961368925914785,0.5774791836738586,279.4773651868597
2023Q1,WAT,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,309.63,266.54,-0.1391661014759551,-0.1391661014759551,0.08680355925814522,0.029478493034555936,-0.16864459451051103,-0.2259696607341003,0.5771586298942566,-22.100352360850604
2023Q1,MTD,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,1530.21,1311.64,-0.142836604126231,-0.142836604126231,0.08680355925814522,0.029478493034555936,-0.17231509716078694,-0.2296401633843762,0.576504647731781,-47.0859957110676
2023Q1,NSPR,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,1.13,2.51,1.2212389380530975,1.2212389380530975,0.08680355925814522,0.029478493034555936,1.1917604450185415,1.1344353787949522,0.574711263179779,91.02218684633834
2023Q1,COR,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,155.9516,187.97,0.2053098525439943,0.2053098525439943,0.08680355925814522,0.029478493034555936,0.17583135950943837,0.11850629328584909,0.5739277601242065,26.764348326985655
2023Q1,LFMD,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,1.7,4.35,1.5588235294117645,1.5588235294117645,0.08680355925814522,0.029478493034555936,1.5293450363772085,1.4720199701536192,0.5737887024879456,504.9629836794479
2023Q1,SCYX,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,3.0,2.95,-0.016666666666666607,-0.016666666666666607,0.08680355925814522,0.029478493034555936,-0.04614515970122254,-0.10347022592481182,0.5720019340515137,-17.790106527720496
2023Q1,ADUS,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,106.76,92.7,-0.13169726489321845,-0.13169726489321845,0.08680355925814522,0.029478493034555936,-0.1611757579277744,-0.21850082415136368,0.5713684558868408,-45.09755799927844
2023Q1,AMPH,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,37.5,57.47,0.5325333333333333,0.5325333333333333,0.08680355925814522,0.029478493034555936,0.5030548402987773,0.4457297740751881,0.5712473392486572,-3.289184758224632
2023Q1,GERN,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,2.17,3.21,0.47926267281105994,0.47926267281105994,0.08680355925814522,0.029478493034555936,0.449784179776504,0.39245911355291474,0.5701536536216736,-56.16551161000805
2023Q1,IBRX,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,1.82,2.78,0.5274725274725273,0.5274725274725273,0.08680355925814522,0.029478493034555936,0.4979940344379713,0.44066896821438206,0.5698304772377014,94.46491308199585
2023Q1,NBIX,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,101.22,94.3,-0.06836593558585262,-0.06836593558585262,0.08680355925814522,0.029478493034555936,-0.09784442862040856,-0.15516949484399783,0.5696920156478882,1.6017816883275664
2023Q1,MEDP,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,188.05,240.17,0.27716032969954785,0.27716032969954785,0.08680355925814522,0.029478493034555936,0.2476818366649919,0.19035677044140265,0.5694219470024109,46.13138492445927
2023Q1,ABBV,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,142.9939,121.9978,-0.1468321375946806,-0.1468321375946806,0.08680355925814522,0.029478493034555936,-0.17631063062923655,-0.2336356968528258,0.5693187713623047,-2.979636218507757
2023Q1,OPCH,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,31.77,32.49,0.022662889518413675,0.022662889518413675,0.08680355925814522,0.029478493034555936,-0.006815603516142261,-0.06414066973973154,0.5682944655418396,-26.55353101490932
2023Q1,NEPH,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,1.07,1.55,0.44859813084112143,0.44859813084112143,0.08680355925814522,0.029478493034555936,0.41911963780656547,0.36179457158297623,0.568040132522583,85.9286434722795
2023Q1,EOLS,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,8.46,7.27,-0.1406619385342791,-0.1406619385342791,0.08680355925814522,0.029478493034555936,-0.17014043156883504,-0.2274654977924243,0.5680204033851624,35.91771057169827
2023Q1,CERS,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,2.97,2.46,-0.1717171717171718,-0.1717171717171718,0.08680355925814522,0.029478493034555936,-0.20119566475172773,-0.258520730975317,0.5679681301116943,-55.34303042791655
2023Q1,THC,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,59.42,81.38,0.3695725345001682,0.3695725345001682,0.08680355925814522,0.029478493034555936,0.3400940414656123,0.282768975242023,0.5671160221099854,25.27250256144164
2023Q1,ABUS,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,3.03,2.3,-0.24092409240924093,-0.24092409240924093,0.08680355925814522,0.029478493034555936,-0.27040258544379686,-0.32772765166738616,0.566710352897644,-34.41297433746645
2023Q1,MMSI,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,73.95,83.64,0.13103448275862065,0.13103448275862065,0.08680355925814522,0.029478493034555936,0.10155598972406471,0.04423092350047543,0.5663626790046692,-16.2598400007209
2023Q1,LLY,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,335.8837,459.8814,0.36916855447287267,0.36916855447287267,0.08680355925814522,0.029478493034555936,0.3396900614383167,0.28236499521472747,0.566295862197876,101.91558328105242
2023Q1,SGMO,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,1.76,1.3,-0.26136363636363635,-0.26136363636363635,0.08680355925814522,0.029478493034555936,-0.2908421293981923,-0.34816719562178156,0.5658625364303589,-103.68248273310716
2023Q1,HAE,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,82.75,85.14,0.02888217522658611,0.02888217522658611,0.08680355925814522,0.029478493034555936,-0.0005963178079698254,-0.05792138403155911,0.5653554201126099,-27.24779812851399
2023Q1,ACHC,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,72.25,79.64,0.10228373702422146,0.10228373702422146,0.08680355925814522,0.029478493034555936,0.07280524398966552,0.015480177766076242,0.5652126669883728,-14.64130891788203
2023Q1,NRC,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,39.6379,39.7477,0.002770076114022183,0.002770076114022183,0.08680355925814522,0.029478493034555936,-0.026708416920533752,-0.08403348314412304,0.564961850643158,-35.06450354573004
2023Q1,GILD,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,74.9461,70.2886,-0.06214466129658513,-0.06214466129658513,0.08680355925814522,0.029478493034555936,-0.09162315433114107,-0.14894822055473034,0.5649594068527222,-37.87804977309954
2023Q1,IGC,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,0.34,0.31,-0.08823529411764713,-0.08823529411764713,0.08680355925814522,0.029478493034555936,-0.11771378715220307,-0.17503885337579234,0.5648074746131897,-45.73774038595229
2023Q1,UTHR,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,223.96,220.75,-0.01433291659224865,-0.01433291659224865,0.08680355925814522,0.029478493034555936,-0.04381140962680459,-0.10113647585039387,0.564081609249115,-36.7340298848896
2023Q1,MRK,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,97.0504,105.9636,0.09184094037737098,0.09184094037737098,0.08680355925814522,0.029478493034555936,0.06236244734281504,0.005037381119225762,0.5638349652290344,-9.067756143975604
2023Q1,SYK,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,277.2859,297.0854,0.07140464048117832,0.07140464048117832,0.08680355925814522,0.029478493034555936,0.04192614744662239,-0.015398918776966891,0.5632200241088867,9.562765574680263
